"bpt","r_r200","zoo"
0,-0.961937442,"E"
0,-0.868316201,"E"
1,-0.721355078,"E"
0,-0.449430996,"E"
0,-0.853452112,"E"
1,-0.228720117,"E"
0,-0.860891167,"E"
1,-0.951631853,"E"
1,-1.004212844,"E"
0,-0.878838575,"E"
1,-0.878513323,"E"
0,-0.943529887,"E"
0,-1.019503511,"E"
0,-0.771685266,"E"
0,-0.817460091,"E"
0,-0.91015674,"E"
1,-1.006003793,"E"
1,-0.586315881,"E"
0,-1.02113319,"E"
1,-0.649805742,"E"
1,-0.747140562,"E"
0,-0.758669535,"E"
0,-0.641064413,"E"
0,-1.043756895,"E"
1,-0.771501421,"E"
0,-0.836110772,"E"
1,-0.599749684,"E"
0,-0.856941747,"E"
1,-0.867597079,"E"
0,-0.724323706,"E"
0,-0.671925696,"E"
1,-0.729297856,"E"
1,-1.002198175,"E"
0,-0.930418484,"E"
0,-0.388878422,"E"
0,-0.894499151,"E"
1,-0.825085021,"E"
0,-0.661410492,"E"
0,-0.449918198,"E"
0,-0.948687076,"E"
0,-0.746029337,"E"
0,-0.859981458,"E"
1,-0.455644045,"E"
0,-0.794734489,"E"
0,-0.458239476,"E"
0,-0.69958452,"E"
0,-0.847369799,"E"
0,-0.832773613,"E"
0,-0.785568419,"E"
0,-0.953258252,"E"
1,-0.630500466,"E"
1,-0.965963129,"E"
0,-0.903940121,"E"
0,-0.88683879,"E"
0,-0.799343433,"E"
1,-0.8020521,"E"
1,-0.930518277,"E"
0,-0.942560182,"E"
0,-0.59547146,"E"
1,-0.901654602,"E"
1,-0.860955796,"E"
1,-0.725501154,"E"
1,-0.620128496,"E"
0,-0.380542593,"E"
1,-0.930283975,"E"
0,-0.982894734,"E"
1,-0.904886729,"E"
1,-0.623920858,"E"
1,-0.722848526,"E"
1,-0.782713876,"E"
0,-0.312580496,"E"
0,-0.438262047,"E"
1,-1.002063567,"E"
0,-0.990499181,"E"
1,-0.838373864,"E"
1,-0.694246916,"E"
0,-0.992099001,"E"
1,-1.033973099,"E"
1,-0.854206819,"E"
1,-0.962183159,"E"
0,-0.569744379,"E"
1,-0.806820015,"E"
0,-0.701084779,"E"
1,-0.721460236,"E"
0,-0.839193966,"E"
0,-0.850539537,"E"
0,-0.997409724,"E"
1,-0.900370362,"E"
1,-0.953300344,"E"
0,-0.984911719,"E"
0,-0.84460992,"E"
0,-0.9750502,"E"
0,-0.655912658,"E"
1,-0.360461111,"E"
1,-1.033341461,"E"
1,-0.709690456,"E"
1,-0.542532014,"E"
0,-0.600029232,"E"
1,-0.948616008,"E"
0,-0.775880925,"E"
1,-0.938867148,"E"
0,-0.257707514,"E"
0,-0.911325391,"E"
1,-0.742190471,"E"
1,-0.336267371,"E"
0,-0.840656908,"E"
1,-1.00835164,"E"
0,-1.002030369,"E"
0,-0.681827261,"E"
0,-1.022165796,"E"
0,-0.734035783,"E"
1,-0.553074456,"E"
0,-0.6484378,"E"
1,-0.773628868,"E"
0,-0.863449908,"E"
0,-0.863582549,"E"
1,-0.848890047,"E"
0,-0.56291175,"E"
1,-0.66287822,"E"
1,-0.848644696,"E"
1,-0.938485477,"E"
0,-0.888018985,"E"
0,-0.608165472,"E"
1,-0.809827213,"E"
0,-0.953744452,"E"
0,-0.807818719,"E"
1,-1.03898926,"E"
1,-0.969221503,"E"
0,-0.996888161,"E"
0,-0.619222222,"E"
0,-0.921241736,"E"
1,-0.82519528,"E"
0,-0.743051831,"E"
0,-0.946712243,"E"
0,-0.909407931,"E"
0,-0.802773201,"E"
0,-0.420028105,"E"
0,-0.92900496,"E"
1,-0.871848871,"E"
1,-0.770167256,"E"
0,-0.914107,"E"
1,-0.772216581,"E"
1,-0.333525957,"E"
1,-0.844979586,"E"
0,-0.900904411,"E"
0,-0.676659673,"E"
1,-0.764706,"E"
0,-0.690315379,"E"
1,-0.784819876,"E"
1,-0.878772389,"E"
1,-0.632937818,"E"
0,-1.014055727,"E"
0,-1.000495488,"E"
0,-0.829076031,"E"
0,-1.009514316,"E"
0,-0.296606987,"E"
1,-0.781580114,"E"
0,-0.741702238,"E"
0,-1.01172088,"E"
1,-0.655716055,"E"
0,-0.619413962,"E"
1,-0.951680981,"E"
0,-0.870797587,"E"
1,-0.839881503,"E"
0,-0.810754008,"E"
1,-0.473391792,"E"
0,-0.867497683,"E"
1,-0.721308771,"E"
0,-0.784695973,"E"
1,-0.944183896,"E"
0,-0.489321691,"E"
0,-0.796073528,"E"
0,-0.55673608,"E"
0,-0.962377615,"E"
1,-0.805174797,"E"
1,-0.93401977,"E"
1,-0.893893484,"E"
1,-0.786446661,"E"
1,-0.861925686,"E"
1,-1.006296323,"E"
1,-1.0283156,"E"
1,-0.953368846,"E"
1,-0.690461198,"E"
0,-0.793080536,"E"
1,-0.960387704,"E"
0,-0.570275933,"E"
0,-1.001494093,"E"
1,-0.661307475,"E"
1,-0.799872779,"E"
1,-0.560102698,"E"
1,-0.866078052,"E"
1,-0.905800259,"E"
1,-0.767412606,"E"
0,-0.96693554,"E"
1,-0.874533953,"E"
1,-0.980644138,"E"
1,-0.960076579,"E"
1,-0.763320311,"E"
0,-0.654063406,"E"
1,-0.951307557,"E"
1,-0.776699173,"E"
1,-0.307850638,"E"
1,-0.966026702,"E"
0,-0.825051612,"E"
1,-0.771319755,"E"
0,-0.78391343,"E"
1,-0.66709612,"E"
1,-1.008163239,"E"
0,-0.774733439,"E"
0,-0.748558778,"E"
0,-0.949273668,"E"
1,-0.585294928,"E"
1,-0.86367869,"E"
1,-0.818159436,"E"
0,-0.995718223,"E"
1,-0.695719395,"E"
1,-0.559198932,"E"
0,-0.969406109,"E"
0,-0.657149167,"E"
0,-0.505579974,"E"
0,-0.923567833,"E"
0,-0.735372439,"E"
1,-1.019141826,"E"
0,-1.035643973,"E"
1,-0.736402108,"E"
1,-0.947684721,"E"
1,-0.751110975,"E"
0,-0.588402547,"E"
0,-0.634242664,"E"
1,-0.773571845,"E"
0,-0.810507263,"E"
0,-0.796367201,"E"
0,-0.923981053,"E"
1,-0.899688857,"E"
1,-0.970702416,"E"
1,-0.993784448,"E"
0,-0.959732358,"E"
1,-0.916221221,"E"
1,-0.956278784,"E"
1,-0.438462749,"E"
1,-0.9808585,"E"
1,-0.983622804,"E"
0,-0.728756979,"E"
1,-0.744064539,"E"
1,-0.943351387,"E"
1,-0.70807384,"E"
0,-0.89465167,"E"
0,-0.914491696,"E"
1,-0.472981822,"E"
0,-0.807173158,"E"
0,-1.000455259,"E"
1,-1.020093541,"E"
1,-1.012388999,"E"
0,-0.909762009,"E"
1,-0.596703034,"E"
1,-0.620046062,"E"
0,-0.799219877,"E"
0,-0.824741473,"E"
0,-0.951721194,"E"
0,-0.817037655,"E"
0,-0.976253287,"E"
0,-0.891760208,"E"
1,-0.979929164,"E"
1,-0.777445854,"E"
0,-0.780068414,"E"
0,-0.969503756,"E"
0,-0.952514954,"E"
1,-0.821490559,"E"
1,-0.446872457,"E"
0,0.897744528,"E"
1,-0.171915451,"E"
1,0.116755497,"E"
1,-0.244598103,"E"
1,0.280568174,"E"
1,2.051676993,"E"
1,-0.291033751,"E"
0,1.314434635,"E"
0,1.692667478,"E"
1,0.735779999,"E"
1,1.453131253,"E"
1,1.044276863,"E"
1,1.618393397,"E"
1,-0.103521298,"E"
1,-0.070115481,"E"
1,1.194190021,"E"
1,1.964803777,"E"
1,0.893614977,"E"
1,2.148574398,"E"
0,1.306570254,"E"
1,0.075683775,"E"
0,-0.294292784,"E"
1,1.471456518,"E"
0,1.212777109,"E"
1,0.200035692,"E"
0,1.282185545,"E"
0,1.92805828,"E"
1,1.061766124,"E"
0,-0.026483774,"E"
1,0.040608634,"E"
1,1.052839304,"E"
1,-0.150426306,"E"
0,2.465946866,"E"
1,0.684226411,"E"
0,-0.126912633,"E"
1,1.909149115,"E"
1,2.421932104,"E"
1,0.112195435,"E"
1,0.854077394,"E"
1,0.514453528,"E"
1,0.809411831,"E"
0,0.248274383,"E"
1,1.507551478,"E"
1,1.154374412,"E"
1,1.383379442,"E"
1,2.030276262,"E"
1,-0.059800576,"E"
0,-0.502801098,"E"
1,0.916294287,"E"
1,1.080037002,"E"
0,1.560329394,"E"
0,0.652069624,"E"
1,0.117972368,"E"
1,-0.135414156,"E"
0,2.44086148,"E"
1,1.268602055,"E"
1,0.851028158,"E"
1,2.12219093,"E"
1,-0.613172195,"E"
1,1.66633399,"E"
1,-0.490834974,"E"
1,2.291562874,"E"
1,1.100835704,"E"
0,1.940656864,"E"
1,2.121702725,"E"
0,0.82716624,"E"
0,0.49786626,"E"
1,0.134798798,"E"
0,0.697305871,"E"
1,1.747722956,"E"
1,0.544081623,"E"
0,-0.039745683,"E"
0,0.682950187,"E"
1,2.242162484,"E"
1,1.75593817,"E"
0,0.008468357,"E"
1,1.255089974,"E"
0,-0.05698854,"E"
1,0.219516906,"E"
1,0.235483563,"E"
1,1.623326392,"E"
0,0.315334275,"E"
0,0.55103198,"E"
0,0.441528602,"E"
1,1.447379326,"E"
0,1.119419839,"E"
1,1.473213805,"E"
1,0.150844037,"E"
1,0.957116136,"E"
1,0.540054557,"E"
0,0.867729846,"E"
0,0.461822616,"E"
0,2.401765478,"E"
0,1.168471549,"E"
0,-0.941557823,"E"
0,0.665513499,"E"
0,0.352130857,"E"
1,-0.267353135,"E"
1,1.24965807,"E"
1,0.87862014,"E"
1,0.789792357,"E"
0,2.238783304,"E"
0,0.492748002,"E"
1,0.530880785,"E"
1,-0.023986706,"E"
0,1.08576498,"E"
1,2.299495387,"E"
0,1.76042205,"E"
0,0.261228559,"E"
1,0.377926473,"E"
0,0.410589908,"E"
1,0.199916188,"E"
1,0.004855958,"E"
1,0.858446061,"E"
1,0.189677487,"E"
0,0.074889069,"E"
1,2.188916836,"E"
0,-0.245099078,"E"
1,0.228978513,"E"
0,-0.429770869,"E"
0,0.108546737,"E"
0,0.006751294,"E"
0,-0.594260102,"E"
0,1.084560856,"E"
1,2.2002795,"E"
1,2.177221357,"E"
0,-0.203605407,"E"
0,1.653754838,"E"
1,1.229685545,"E"
1,2.272618401,"E"
0,0.210072909,"E"
1,1.24906599,"E"
0,-0.126427408,"E"
1,-0.286488398,"E"
0,0.158959283,"E"
0,1.566140789,"E"
1,0.330253414,"E"
1,-0.9660219037,"S"
1,-0.863874027,"S"
1,-0.7622767419,"S"
1,-0.9816862433,"S"
0,-0.478491688,"S"
0,-0.7324893328,"S"
0,-0.8964703385,"S"
1,-0.6080383986,"S"
1,-0.8386544794,"S"
1,-0.9288535359,"S"
0,-0.8603077468,"S"
0,-0.6661232179,"S"
0,-0.8251956442,"S"
0,-0.8628640977,"S"
0,-0.7766678468,"S"
0,-0.9370190869,"S"
0,-0.8544580375,"S"
0,-0.6782006448,"S"
0,-0.7210499125,"S"
0,-0.9232272197,"S"
0,-0.6503027001,"S"
1,-0.4953553918,"S"
1,-0.95395382,"S"
0,-0.6197186589,"S"
0,-0.8651395599,"S"
0,-0.7694967438,"S"
0,-0.5640814788,"S"
0,-0.5635488024,"S"
0,-0.5591758799,"S"
1,-0.3877349663,"S"
1,-0.600598002,"S"
0,-0.6548861674,"S"
0,-0.6787097975,"S"
0,-0.771947686,"S"
0,-0.4528085181,"S"
1,-0.8569291123,"S"
1,-0.7283520673,"S"
0,-0.6901654396,"S"
0,-0.4898621543,"S"
1,-0.8375789684,"S"
1,-0.5834730979,"S"
1,-0.8538823318,"S"
0,-0.8208641807,"S"
0,-0.8354474653,"S"
1,-0.8598443966,"S"
1,-0.8780668843,"S"
1,-0.8662933771,"S"
1,-0.7487874301,"S"
1,-0.934194996,"S"
1,-0.7324660967,"S"
0,-0.6645607676,"S"
0,-0.5404126786,"S"
1,-1.0240989918,"S"
1,-0.6313716594,"S"
1,-0.5399277753,"S"
1,-0.806783021,"S"
1,-0.9677469842,"S"
0,-0.5423852694,"S"
0,-0.6254061979,"S"
0,-0.8051711957,"S"
0,-0.4537289886,"S"
0,-0.5287855451,"S"
1,-0.5433247615,"S"
1,-0.9024565057,"S"
0,-1.0006461956,"S"
0,-0.5431699678,"S"
1,-0.9192536339,"S"
0,-0.5970612529,"S"
0,-0.7297807754,"S"
0,-0.8285767993,"S"
1,-0.7786196141,"S"
0,-0.9244089981,"S"
1,-0.6065260533,"S"
0,-0.8344495662,"S"
0,-0.8180641582,"S"
0,-0.920477847,"S"
0,-0.6868994254,"S"
0,-0.9240533301,"S"
1,-0.9760583519,"S"
1,-0.7652297268,"S"
0,-0.9736621723,"S"
0,-0.4064324121,"S"
0,-0.5700199913,"S"
1,-0.934298722,"S"
1,-0.8177270978,"S"
0,-0.7329321609,"S"
0,-0.7527840879,"S"
0,-0.8437978079,"S"
0,-0.9472464755,"S"
0,-0.9441300194,"S"
0,-0.6030508376,"S"
1,-0.5230996167,"S"
1,-0.8804149054,"S"
0,-0.7913551838,"S"
1,-0.4400049491,"S"
0,-0.8234432124,"S"
1,-0.790389322,"S"
0,-0.6079138524,"S"
0,-0.4983385871,"S"
0,-0.7443878894,"S"
0,-0.8843027202,"S"
0,-0.9624761561,"S"
1,-0.8534541277,"S"
0,-0.7100283576,"S"
0,-0.9518659325,"S"
1,-0.487420646,"S"
1,-0.4878165021,"S"
0,-0.540171078,"S"
1,-0.7393315663,"S"
0,-0.684220385,"S"
0,-0.8142817615,"S"
1,-0.4792157886,"S"
0,-0.7996660419,"S"
0,-0.6956982329,"S"
0,-0.7833374558,"S"
0,-1.0138255869,"S"
0,-0.9819308888,"S"
1,-0.9673357598,"S"
1,-0.7969120037,"S"
1,-0.8997406911,"S"
0,-0.8227259987,"S"
1,-0.4567563528,"S"
0,-0.5402834732,"S"
1,-0.6218371628,"S"
0,-0.4772099107,"S"
0,-0.8261373079,"S"
0,-0.7578267996,"S"
0,-0.7979879731,"S"
1,-0.8899853354,"S"
0,-0.6787111253,"S"
0,-0.8371828185,"S"
0,-0.9878432835,"S"
1,-0.7535247674,"S"
1,-0.3500591798,"S"
0,-0.751099729,"S"
1,-0.4944577107,"S"
1,-0.9040490587,"S"
1,-0.8726622266,"S"
0,-0.8146305807,"S"
1,-0.9478748676,"S"
0,-0.8468567757,"S"
0,-0.7322791895,"S"
0,-0.781550819,"S"
0,-1.0010643369,"S"
1,-0.7640375703,"S"
0,-0.768942977,"S"
0,-0.8252816757,"S"
1,-0.9407997891,"S"
1,-0.734278426,"S"
1,-0.3421574312,"S"
0,-0.6478261156,"S"
1,-0.6565761258,"S"
0,-0.7011861982,"S"
0,-0.8354126061,"S"
0,-0.5800043441,"S"
1,-0.9521831452,"S"
1,-0.528238542,"S"
0,-0.4739610724,"S"
1,-0.7808761711,"S"
0,-0.8397461149,"S"
1,-0.7550629873,"S"
0,-0.9998548237,"S"
1,-0.6093091427,"S"
1,-0.917156436,"S"
1,-0.8164535218,"S"
1,-0.6516364562,"S"
0,-0.2633955113,"S"
1,-0.6671794401,"S"
1,-0.5441180775,"S"
1,-0.9502555832,"S"
0,-0.3751812977,"S"
1,-0.7665136866,"S"
0,-0.4912429048,"S"
0,-0.7364468666,"S"
0,-0.9963382963,"S"
0,-0.3495906836,"S"
0,-0.8915612444,"S"
1,-0.8968095148,"S"
1,-0.7632573808,"S"
0,-0.8103226541,"S"
0,-0.5004265435,"S"
0,-0.6804295886,"S"
0,-0.7651821996,"S"
0,-0.5428756302,"S"
0,-0.8826790471,"S"
1,-0.8688476228,"S"
0,-0.5926307772,"S"
0,-0.9310205259,"S"
0,-0.7258618618,"S"
0,-0.612199548,"S"
0,-0.8230675379,"S"
1,-0.5335379282,"S"
1,-0.8226545661,"S"
0,-0.855896289,"S"
1,-0.8944299435,"S"
1,-0.4232566089,"S"
0,-0.7177051669,"S"
1,-0.7972704204,"S"
1,-0.6500994033,"S"
0,-0.6347190774,"S"
1,-0.9796129022,"S"
1,-0.5517244161,"S"
1,-0.5639825202,"S"
0,-0.9998032263,"S"
0,-0.7363010783,"S"
0,-0.6990182836,"S"
0,-0.3788980452,"S"
1,-0.9231440813,"S"
1,-0.7133887865,"S"
0,-0.8043358076,"S"
0,-0.5557482175,"S"
0,-0.6483337575,"S"
1,-0.4454807722,"S"
1,-0.5668649742,"S"
1,-0.4612268197,"S"
1,-0.7624308822,"S"
1,-0.9144205464,"S"
0,-0.8376161756,"S"
0,-1.00539683,"S"
1,-0.7772789339,"S"
0,-0.9447235712,"S"
0,-0.6138595869,"S"
0,-0.7321491203,"S"
0,-0.7595503457,"S"
0,-0.7221447323,"S"
0,-0.8000202605,"S"
0,-0.6980174224,"S"
0,-0.7787727373,"S"
0,-0.8485183224,"S"
0,-0.8110991419,"S"
1,-0.8542558551,"S"
1,-0.8892309372,"S"
1,-0.7034842838,"S"
1,-0.5647070499,"S"
0,-0.7877760635,"S"
1,-0.8119218152,"S"
0,-0.4895164862,"S"
0,-0.7384069219,"S"
1,-0.7792038395,"S"
1,-0.4846573896,"S"
0,-0.8950315286,"S"
0,-0.6680646137,"S"
1,-0.8506532007,"S"
0,-0.6367834524,"S"
1,-0.8439123028,"S"
0,-0.8521087319,"S"
1,-0.7027385086,"S"
0,-0.6914739949,"S"
1,-0.7041095203,"S"
1,-0.8960201752,"S"
0,-0.5063483547,"S"
0,-1.0490593519,"S"
1,-0.7333694429,"S"
1,-0.961583608,"S"
1,-0.7989620702,"S"
0,-0.9542750819,"S"
0,-0.6491392384,"S"
0,-0.9739099279,"S"
0,-0.9339779592,"S"
0,-0.5624736723,"S"
1,-0.7436950672,"S"
1,-0.6119038507,"S"
0,-0.9360479687,"S"
1,-0.5546280458,"S"
0,-0.5318541306,"S"
1,-0.4331001914,"S"
1,-0.6650076314,"S"
0,-0.9034245716,"S"
0,-0.8619177812,"S"
0,-0.8304246693,"S"
0,-0.7043241871,"S"
0,-0.9751227885,"S"
0,-0.8564410935,"S"
0,-0.9838858567,"S"
1,-0.7562563098,"S"
0,-0.3462307344,"S"
1,-0.5105301642,"S"
0,-0.5273829031,"S"
0,-1.0301688973,"S"
1,-0.6771479875,"S"
1,-0.7358211095,"S"
1,-0.5400973175,"S"
0,-0.941901141,"S"
0,-0.8927733167,"S"
0,-0.5288784436,"S"
1,-0.764716726,"S"
0,-0.3424322155,"S"
1,-0.7555573421,"S"
0,-0.7643724061,"S"
0,-0.5835596522,"S"
0,-0.944028335,"S"
0,-0.8176412492,"S"
0,-0.7892206297,"S"
1,-0.7601821061,"S"
0,-0.5575235723,"S"
1,-0.6492015166,"S"
0,-0.776967984,"S"
1,-0.4993681635,"S"
1,-0.8896065846,"S"
1,-0.6739146583,"S"
0,-0.4025073392,"S"
0,-0.8422051998,"S"
0,-0.7774202598,"S"
1,-0.6391874318,"S"
0,-0.7343284466,"S"
1,-0.6379780462,"S"
0,-0.9449974433,"S"
0,-0.4198463263,"S"
1,-0.6906490199,"S"
1,-0.9511613743,"S"
0,-0.626275588,"S"
1,-0.6989944027,"S"
0,-0.7314428378,"S"
0,-0.7286625876,"S"
0,-0.7190896292,"S"
1,-0.688463562,"S"
0,-0.2352096785,"S"
0,-0.9282548094,"S"
1,-0.9570350849,"S"
1,-0.7334932757,"S"
0,-0.7342092138,"S"
1,-0.3503275335,"S"
0,-0.849376252,"S"
1,-0.9851888262,"S"
1,-1.0013257637,"S"
1,-0.9967462658,"S"
0,-0.6753797161,"S"
1,-0.9646714118,"S"
1,-0.5895225511,"S"
1,-0.8191919685,"S"
1,-0.4497152491,"S"
0,-0.8163429437,"S"
0,-0.713939313,"S"
0,-0.96358531,"S"
1,-1.0087856781,"S"
0,-0.7438090636,"S"
0,-0.9315181095,"S"
0,-1.0466854068,"S"
1,-0.8422701189,"S"
0,-0.8172416158,"S"
0,-0.472639067,"S"
0,-0.8241223954,"S"
1,-0.8727949337,"S"
0,-0.8516959131,"S"
1,-0.7138227422,"S"
0,-0.4437156098,"S"
1,-0.9728283986,"S"
1,-0.866069619,"S"
0,-0.7314800958,"S"
0,-0.911266655,"S"
0,-0.6155588959,"S"
1,-0.8959320508,"S"
1,-0.846258002,"S"
1,-0.8713753566,"S"
0,-0.8656434825,"S"
0,-0.5348322242,"S"
0,-0.7470005615,"S"
1,-1.0068962913,"S"
1,-0.953485051,"S"
1,-0.8003710807,"S"
0,-0.8045156204,"S"
0,-0.6279357221,"S"
1,-0.9066389147,"S"
1,-0.5753647796,"S"
1,-1.008505357,"S"
0,-0.7520442885,"S"
1,-0.4669355786,"S"
1,-0.8677827669,"S"
1,-0.8087376023,"S"
1,-0.5663109997,"S"
0,-0.6070011188,"S"
1,-0.9540451433,"S"
1,-0.3680025575,"S"
1,-0.9358830976,"S"
1,-0.5775862777,"S"
0,-0.7037597856,"S"
1,-0.6322886519,"S"
0,-1.0381938402,"S"
1,-0.837117674,"S"
1,-0.714414887,"S"
0,-0.6740917021,"S"
1,-0.5101323824,"S"
1,-0.8271429042,"S"
0,-0.4173498821,"S"
0,-0.7514283067,"S"
0,-0.6738190186,"S"
1,-0.5778981737,"S"
0,-0.761815987,"S"
0,-0.9366976633,"S"
1,-0.4202665903,"S"
0,-0.9115103781,"S"
0,-0.7525294349,"S"
0,-0.629946651,"S"
0,-0.8480353139,"S"
1,-0.5239360827,"S"
0,-0.8570728049,"S"
1,-0.9610807614,"S"
1,-0.5226996718,"S"
0,-0.5383636288,"S"
1,-0.8928894435,"S"
0,-0.6885187033,"S"
0,-0.7873184319,"S"
1,-0.6497336417,"S"
1,-0.4709570249,"S"
0,-0.6019782915,"S"
1,-0.7534330536,"S"
1,-0.4138409502,"S"
0,-0.8221666444,"S"
0,-0.9469086625,"S"
0,-0.4840287431,"S"
1,-0.7167934604,"S"
1,-0.5072045248,"S"
1,-0.7211597731,"S"
1,-0.9261547704,"S"
1,-0.7019612716,"S"
1,-0.8658891563,"S"
0,-0.8541439159,"S"
1,-0.6964728167,"S"
1,-0.9781717989,"S"
1,-0.8949788288,"S"
1,-0.9817231173,"S"
1,-0.818326114,"S"
1,-0.644481991,"S"
1,-1.0436786342,"S"
1,-0.7619239104,"S"
1,-0.6009429107,"S"
0,-0.7238451379,"S"
0,-0.74119558,"S"
0,-0.3957979874,"S"
0,-0.8233974287,"S"
1,-0.746153164,"S"
1,-0.7414589363,"S"
1,-0.6258124681,"S"
1,-0.961119217,"S"
1,-0.5257437839,"S"
1,-0.6128520157,"S"
0,-0.6654823846,"S"
1,-0.5119304341,"S"
1,-0.8043176497,"S"
1,-0.9084162285,"S"
0,-1.0340851461,"S"
1,-0.7238517586,"S"
0,-0.7217520663,"S"
0,-0.6917660875,"S"
0,-0.7585685567,"S"
0,-0.483169714,"S"
0,-0.8237986036,"S"
0,-0.5047738387,"S"
0,-0.8687088434,"S"
1,-1.0121486183,"S"
1,-0.5181283134,"S"
0,-0.5004746652,"S"
1,-0.597255921,"S"
1,-0.6326310328,"S"
0,-0.7723442627,"S"
0,-1.0013749968,"S"
0,-0.4959587183,"S"
1,-0.9810880797,"S"
1,-0.5377035753,"S"
0,-0.6259210009,"S"
1,-0.8138797128,"S"
1,-0.4812154328,"S"
0,-0.529517346,"S"
0,-0.8428910617,"S"
1,-0.9594671177,"S"
0,-0.9818276932,"S"
0,-0.3202848548,"S"
1,-0.6170743453,"S"
1,-0.6958682365,"S"
1,-0.3729471729,"S"
1,-0.7608918436,"S"
1,-0.4237753933,"S"
0,-0.9978102741,"S"
0,-0.7926570127,"S"
0,-0.8647363988,"S"
1,-0.8604720875,"S"
1,-0.802777233,"S"
1,-0.5940118288,"S"
1,-0.5977275087,"S"
1,-0.7460597277,"S"
1,-0.945705051,"S"
1,-0.807794995,"S"
0,-0.8940359403,"S"
1,-0.9670244508,"S"
1,-0.9954080291,"S"
0,-0.7949444073,"S"
1,-0.8885908786,"S"
1,-0.6301467334,"S"
1,-0.5743211201,"S"
0,-0.9269437275,"S"
0,-0.6254968403,"S"
0,-0.5123803403,"S"
1,-0.7271285624,"S"
0,-0.7276115504,"S"
1,-0.6361415513,"S"
0,-0.5503726066,"S"
0,-0.5718321211,"S"
1,-0.8212908271,"S"
0,-0.5699866503,"S"
1,-0.551411964,"S"
1,-0.3839331672,"S"
1,-0.6306093629,"S"
1,-0.8096379116,"S"
1,-0.5393714177,"S"
0,-0.8884198949,"S"
1,-0.7611771511,"S"
1,-0.7509934231,"S"
1,-0.6044675049,"S"
1,-0.9326750032,"S"
0,-0.715073167,"S"
1,-0.4543545085,"S"
0,-0.693316666,"S"
1,-0.7541150234,"S"
1,-0.7883813614,"S"
1,-0.7597312938,"S"
1,-0.6647955121,"S"
0,-0.6803493002,"S"
1,-0.7449459216,"S"
1,-0.6170253057,"S"
1,-0.2900623176,"S"
0,-0.5215545231,"S"
0,-0.8071166174,"S"
1,-0.8418026273,"S"
1,-0.5409019856,"S"
0,-0.7966818172,"S"
0,-0.2359696112,"S"
1,-0.4279926424,"S"
1,-0.5519619975,"S"
0,-0.8656801533,"S"
1,-0.5443455031,"S"
1,-0.9906715638,"S"
1,-0.5854251652,"S"
1,-0.9275900305,"S"
0,-0.8310586491,"S"
1,-0.7044456458,"S"
0,-0.737417649,"S"
1,-0.6609820564,"S"
1,-0.8087379318,"S"
1,-0.5165684085,"S"
1,-0.9085564715,"S"
1,-0.8582408937,"S"
1,-0.7289332961,"S"
1,-0.5551199711,"S"
1,-0.8218362,"S"
0,-0.3338605754,"S"
0,-0.6089514656,"S"
0,-0.8273017917,"S"
0,-0.7726150017,"S"
0,-0.9008324469,"S"
0,-0.6949452544,"S"
1,-0.3302514014,"S"
1,-0.7173278381,"S"
1,-0.7972471675,"S"
